[set,]image_path[,label]
UNASSIGNED,gs://helios-sh3/images/b477.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b305.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1658.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b463.jpg,benign
UNASSIGNED,gs://helios-sh3/images/m750.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/m988.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/b1670.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1116.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1102.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b339.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1664.jpg,benign
UNASSIGNED,gs://helios-sh3/images/m787.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/m793.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/m963.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/m1232.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/b488.jpg,benign
UNASSIGNED,gs://helios-sh3/images/m977.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/m1226.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/m220.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/b113.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1328.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b675.jpg,benign
UNASSIGNED,gs://helios-sh3/images/m552.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/b661.jpg,benign
UNASSIGNED,gs://helios-sh3/images/m234.jpg,malignant
UNASSIGNED,gs://helios-sh3/images/b107.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1314.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b891.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b649.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1472.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b885.jpg,benign
UNASSIGNED,gs://helios-sh3/images/b1300.jpg,benign
UNASSIGNED,gs://helios-sh3/images/m585.jpg,malignant
